Landmarks,1441,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
47,JUGAL_LEFT_split_part1.2.01,normal,4.152049e+01,3.169370e+01,-1.253212e+01,2.216811e-01,9.749464e-01,1.835485e-02
48,JUGAL_LEFT_split_part1.2.02,normal,3.984838e+01,3.234814e+01,-1.430400e+01,4.175327e-01,8.871995e-01,-1.963249e-01
49,JUGAL_LEFT_split_part1.2.03,normal,3.818525e+01,3.326608e+01,-1.596401e+01,1.916980e-01,9.529713e-01,2.347290e-01
50,JUGAL_LEFT_split_part1.2.04,normal,3.646609e+01,3.423914e+01,-1.753285e+01,3.872826e-01,9.050573e-01,1.757372e-01
51,JUGAL_LEFT_split_part1.2.05,normal,3.444223e+01,3.512172e+01,-1.921021e+01,4.586778e-01,8.011771e-01,-3.843567e-01
52,JUGAL_LEFT_split_part1.2.06,normal,3.232924e+01,3.643372e+01,-2.043590e+01,-3.154727e-01,6.108381e-01,7.261914e-01
53,JUGAL_LEFT_split_part1.2.07,normal,3.030189e+01,3.720241e+01,-2.216432e+01,-5.174978e-01,2.139684e-01,8.285008e-01
54,JUGAL_LEFT_split_part1.2.08,normal,2.800144e+01,3.787366e+01,-2.400114e+01,-5.250922e-01,2.644794e-01,8.089060e-01
55,JUGAL_LEFT_split_part1.2.09,normal,2.567917e+01,3.840987e+01,-2.586762e+01,-5.017608e-01,3.875431e-01,7.733346e-01
56,JUGAL_LEFT_split_part1.2.10,normal,2.330986e+01,3.918771e+01,-2.754316e+01,-4.785345e-01,4.234545e-01,7.692146e-01
57,JUGAL_LEFT_split_part1.2.11,normal,2.111450e+01,4.036067e+01,-2.871653e+01,-4.390815e-01,1.886836e-01,8.784111e-01
58,JUGAL_LEFT_split_part1.2.12,normal,1.887548e+01,4.173816e+01,-2.952997e+01,-1.869969e-01,-3.099764e-01,9.321733e-01
59,JUGAL_LEFT_split_part1.2.13,normal,1.671865e+01,4.299622e+01,-3.068642e+01,-4.752351e-01,4.617964e-02,8.786462e-01
60,JUGAL_LEFT_split_part1.2.14,normal,1.342668e+01,4.449927e+01,-3.255901e+01,-1.461905e-01,6.322851e-01,7.608179e-01
61,JUGAL_LEFT_split_part1.2.15,normal,9.852619e+00,4.601578e+01,-3.383854e+01,-3.000436e-01,4.491315e-01,8.415788e-01
62,JUGAL_LEFT_split_part1.2.16,normal,6.270096e+00,4.730519e+01,-3.525304e+01,-1.742523e-01,5.350988e-01,8.266229e-01
63,JUGAL_LEFT_split_part1.2.17,normal,3.128142e+00,4.814059e+01,-3.618465e+01,-2.101705e-01,-2.150383e-02,9.774283e-01
64,JUGAL_LEFT_split_part1.2.18,normal,-1.210211e-01,4.878135e+01,-3.687043e+01,-2.577789e-01,9.325719e-02,9.616929e-01
65,JUGAL_LEFT_split_part1.2.19,normal,-3.306084e+00,4.953592e+01,-3.772114e+01,-1.801364e-01,-7.556819e-03,9.836127e-01
