Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
492,Pterygoid_Ecto_Pal_RIGHT.22.03,normal,-7.01E+00,1.34E+00,-1.42E+01,-5.47E-01,-8.34E-01,7.14E-02
493,Pterygoid_Ecto_Pal_RIGHT.22.04,normal,-7.14E+00,1.44E+00,-1.42E+01,-5.11E-01,-8.50E-01,1.28E-01
494,Pterygoid_Ecto_Pal_RIGHT.22.05,normal,-7.23E+00,1.57E+00,-1.42E+01,-2.44E-01,-5.44E-01,-8.03E-01
495,Pterygoid_Ecto_Pal_RIGHT.22.06,normal,-7.39E+00,1.62E+00,-1.41E+01,-5.42E-01,-3.07E-01,7.82E-01
496,Pterygoid_Ecto_Pal_RIGHT.22.07,normal,-7.51E+00,1.71E+00,-1.40E+01,-1.36E-01,-3.40E-02,9.90E-01
497,Pterygoid_Ecto_Pal_RIGHT.22.08,normal,-7.62E+00,1.81E+00,-1.40E+01,9.44E-02,-9.73E-01,2.12E-01
498,Pterygoid_Ecto_Pal_RIGHT.22.09,normal,-7.73E+00,1.90E+00,-1.40E+01,-1.95E-01,-2.15E-01,9.57E-01
499,Pterygoid_Ecto_Pal_RIGHT.22.10,normal,-7.86E+00,1.97E+00,-1.40E+01,3.08E-01,-7.00E-01,6.44E-01
500,Pterygoid_Ecto_Pal_RIGHT.22.11,normal,-7.96E+00,1.94E+00,-1.40E+01,5.90E-02,-2.89E-01,9.55E-01
501,Pterygoid_Ecto_Pal_RIGHT.22.12,normal,-8.05E+00,1.90E+00,-1.40E+01,1.52E-01,-5.58E-01,8.16E-01
502,Pterygoid_Ecto_Pal_RIGHT.22.13,normal,-8.15E+00,1.87E+00,-1.40E+01,-7.79E-03,-4.20E-01,9.08E-01
503,Pterygoid_Ecto_Pal_RIGHT.22.14,normal,-8.32E+00,1.88E+00,-1.40E+01,9.30E-01,-4.97E-02,3.64E-01
504,Pterygoid_Ecto_Pal_RIGHT.22.15,normal,-8.49E+00,1.90E+00,-1.40E+01,-6.11E-01,-3.22E-01,7.23E-01
505,Pterygoid_Ecto_Pal_RIGHT.22.16,normal,-8.66E+00,1.93E+00,-1.40E+01,-6.94E-02,-5.71E-01,8.18E-01
506,Pterygoid_Ecto_Pal_RIGHT.22.17,normal,-8.82E+00,1.95E+00,-1.40E+01,3.16E-01,-3.14E-01,8.95E-01
507,Pterygoid_Ecto_Pal_RIGHT.22.18,normal,-8.98E+00,1.96E+00,-1.39E+01,-4.85E-04,-9.36E-01,3.53E-01
508,Pterygoid_Ecto_Pal_RIGHT.22.19,normal,-9.12E+00,1.96E+00,-1.39E+01,8.68E-01,1.04E-01,4.86E-01
509,Pterygoid_Ecto_Pal_RIGHT.22.20,normal,-9.15E+00,1.95E+00,-1.38E+01,8.17E-01,5.12E-01,2.65E-01
510,Pterygoid_Ecto_Pal_RIGHT.22.21,normal,-9.20E+00,1.92E+00,-1.38E+01,1.43E-01,-8.86E-01,4.41E-01
511,Pterygoid_Ecto_Pal_RIGHT.22.22,normal,-9.25E+00,1.89E+00,-1.38E+01,2.57E-01,-2.20E-01,9.41E-01
512,Pterygoid_Ecto_Pal_RIGHT.22.23,normal,-9.42E+00,1.80E+00,-1.38E+01,6.07E-01,7.17E-03,7.95E-01
513,Pterygoid_Ecto_Pal_RIGHT.22.24,normal,-9.54E+00,1.66E+00,-1.38E+01,5.62E-01,-4.88E-01,6.67E-01
514,Pterygoid_Ecto_Pal_RIGHT.22.25,normal,-9.60E+00,1.49E+00,-1.39E+01,6.19E-01,-6.49E-01,-4.42E-01
515,Pterygoid_Ecto_Pal_RIGHT.22.26,normal,-9.61E+00,1.37E+00,-1.39E+01,8.09E-01,-3.26E-01,4.90E-01
516,Pterygoid_Ecto_Pal_RIGHT.22.27,normal,-9.55E+00,1.29E+00,-1.40E+01,7.91E-01,4.15E-01,4.50E-01
517,Pterygoid_Ecto_Pal_RIGHT.22.28,normal,-9.43E+00,1.24E+00,-1.41E+01,7.26E-01,4.27E-01,5.40E-01
518,Pterygoid_Ecto_Pal_RIGHT.22.29,normal,-9.26E+00,1.16E+00,-1.42E+01,5.21E-01,7.42E-01,4.22E-01
519,Pterygoid_Ecto_Pal_RIGHT.22.30,normal,-9.09E+00,1.09E+00,-1.43E+01,5.35E-01,2.55E-01,8.06E-01
520,Pterygoid_Ecto_Pal_RIGHT.22.31,normal,-8.90E+00,1.05E+00,-1.44E+01,3.98E-02,1.48E-01,9.88E-01
521,Pterygoid_Ecto_Pal_RIGHT.22.32,normal,-8.65E+00,1.04E+00,-1.45E+01,3.48E-01,4.63E-01,8.15E-01
522,Pterygoid_Ecto_Pal_RIGHT.22.33,normal,-8.40E+00,9.47E-01,-1.45E+01,-9.83E-02,-5.20E-02,9.94E-01
523,Pterygoid_Ecto_Pal_RIGHT.22.34,normal,-8.17E+00,1.09E+00,-1.45E+01,-6.59E-01,7.23E-01,-2.07E-01
524,Pterygoid_Ecto_Pal_RIGHT.22.35,normal,-8.06E+00,1.09E+00,-1.46E+01,2.16E-03,8.88E-01,-4.60E-01
525,Pterygoid_Ecto_Pal_RIGHT.22.36,normal,-7.97E+00,1.03E+00,-1.46E+01,5.40E-01,-4.28E-01,7.25E-01
526,Pterygoid_Ecto_Pal_RIGHT.22.37,normal,-7.86E+00,1.01E+00,-1.46E+01,-9.41E-02,1.09E-03,9.96E-01
527,Pterygoid_Ecto_Pal_RIGHT.22.38,normal,-7.76E+00,1.02E+00,-1.46E+01,-8.57E-02,-3.15E-02,9.96E-01
528,Pterygoid_Ecto_Pal_RIGHT.22.39,normal,-7.67E+00,1.03E+00,-1.46E+01,1.87E-01,-1.76E-01,9.66E-01
529,Pterygoid_Ecto_Pal_RIGHT.22.40,normal,-7.57E+00,1.05E+00,-1.46E+01,-3.94E-01,4.08E-01,8.24E-01
530,Pterygoid_Ecto_Pal_RIGHT.22.41,normal,-7.43E+00,1.02E+00,-1.46E+01,-3.26E-01,8.22E-01,4.67E-01
531,Pterygoid_Ecto_Pal_RIGHT.22.42,normal,-7.29E+00,9.70E-01,-1.46E+01,9.33E-02,9.20E-01,-3.80E-01
532,Pterygoid_Ecto_Pal_RIGHT.22.43,normal,-7.15E+00,9.36E-01,-1.46E+01,2.87E-01,5.81E-01,-7.62E-01
533,Pterygoid_Ecto_Pal_RIGHT.22.44,normal,-7.08E+00,9.50E-01,-1.46E+01,2.96E-01,5.74E-01,-7.63E-01
534,Pterygoid_Ecto_Pal_RIGHT.22.45,normal,-7.05E+00,9.48E-01,-1.45E+01,6.40E-01,3.08E-01,-7.05E-01
535,Pterygoid_Ecto_Pal_RIGHT.22.46,normal,-7.00E+00,9.67E-01,-1.44E+01,1.49E-01,5.69E-01,-8.09E-01
536,Pterygoid_Ecto_Pal_RIGHT.22.47,normal,-6.79E+00,1.12E+00,-1.44E+01,1.98E-01,9.09E-01,3.68E-01
537,Pterygoid_Ecto_Pal_RIGHT.22.48,normal,-6.65E+00,1.10E+00,-1.42E+01,-9.89E-01,-1.49E-01,1.39E-02
538,Pterygoid_Ecto_Pal_RIGHT.22.49,normal,-6.80E+00,1.07E+00,-1.44E+01,-5.09E-01,-8.55E-01,1.01E-01
539,Nasal_crest.23.01,normal,1.96E-02,2.54E+00,-1.29E+01,7.32E-01,-2.63E-01,6.28E-01
540,Nasal_crest.23.02,normal,1.12E-02,2.52E+00,-1.28E+01,7.40E-01,2.61E-02,6.72E-01
541,Nasal_crest.23.03,normal,-9.59E-02,2.51E+00,-1.26E+01,8.05E-01,9.32E-02,5.86E-01
542,Nasal_crest.23.04,normal,-2.46E-01,2.49E+00,-1.25E+01,5.94E-01,9.58E-02,7.99E-01
543,Nasal_crest.23.05,normal,-4.19E-01,2.47E+00,-1.24E+01,6.18E-01,-2.16E-02,7.86E-01
544,Nasal_crest.23.06,normal,-5.85E-01,2.46E+00,-1.23E+01,2.44E-01,4.85E-01,8.40E-01
545,Nasal_crest.23.07,normal,-7.74E-01,2.44E+00,-1.22E+01,3.11E-01,6.98E-02,9.48E-01
546,Nasal_crest.23.08,normal,-8.61E-01,2.44E+00,-1.22E+01,4.75E-01,-7.85E-02,8.76E-01
547,Nasal_crest.23.09,normal,-9.48E-01,2.43E+00,-1.21E+01,2.71E-01,1.69E-01,9.48E-01
548,Nasal_crest.23.10,normal,-1.04E+00,2.43E+00,-1.21E+01,-1.38E-02,1.76E-01,9.84E-01
549,Nasal_crest.23.11,normal,-1.09E+00,2.43E+00,-1.21E+01,-6.13E-02,-6.75E-02,9.96E-01
550,Nasal_crest.23.12,normal,-1.12E+00,2.43E+00,-1.21E+01,8.03E-01,2.14E-01,5.56E-01
551,Nasal_crest.23.13,normal,-1.17E+00,2.42E+00,-1.20E+01,3.18E-01,6.51E-02,9.46E-01
552,Nasal_crest.23.14,normal,-1.28E+00,2.41E+00,-1.20E+01,-7.11E-01,-8.38E-02,6.98E-01
553,Nasal_crest.23.15,normal,-1.37E+00,2.40E+00,-1.20E+01,6.99E-02,1.59E-01,9.85E-01
554,Nasal_crest.23.16,normal,-1.48E+00,2.39E+00,-1.20E+01,-3.34E-01,1.02E-01,9.37E-01
555,Nasal_crest.23.17,normal,-1.62E+00,2.40E+00,-1.20E+01,5.84E-01,6.46E-01,4.92E-01
556,Nasal_crest.23.18,normal,-1.77E+00,2.41E+00,-1.20E+01,-1.86E-01,7.47E-01,6.38E-01
557,Nasal_crest.23.19,normal,-1.89E+00,2.43E+00,-1.20E+01,4.73E-01,4.54E-02,8.80E-01
558,Nasal_crest.23.20,normal,-1.98E+00,2.45E+00,-1.20E+01,-1.99E-01,1.74E-01,9.64E-01
559,Nasal_crest.23.21,normal,-2.06E+00,2.47E+00,-1.20E+01,3.07E-01,6.82E-02,9.49E-01
560,Nasal_crest.23.22,normal,-2.15E+00,2.49E+00,-1.20E+01,1.51E-01,7.55E-02,9.86E-01
561,Nasal_crest.23.23,normal,-2.24E+00,2.50E+00,-1.19E+01,1.98E-01,-5.41E-01,8.18E-01
562,Nasal_crest.23.24,normal,-2.30E+00,2.49E+00,-1.19E+01,4.45E-01,-7.52E-01,4.86E-01
563,Nasal_crest.23.25,normal,-2.39E+00,2.48E+00,-1.18E+01,2.14E-02,-1.80E-01,9.83E-01
564,Nasal_crest.23.26,normal,-2.48E+00,2.45E+00,-1.19E+01,-1.14E-01,-2.41E-01,9.64E-01
565,Nasal_crest.23.27,normal,-2.56E+00,2.41E+00,-1.19E+01,3.61E-02,-8.45E-01,5.33E-01
566,Nasal_crest.23.28,normal,-2.64E+00,2.36E+00,-1.19E+01,4.22E-03,-5.83E-01,8.12E-01
567,Nasal_crest.23.29,normal,-2.82E+00,2.28E+00,-1.20E+01,-9.47E-02,2.23E-01,9.70E-01
568,Nasal_crest.23.30,normal,-3.02E+00,2.23E+00,-1.19E+01,6.04E-02,-2.75E-01,9.59E-01
569,Nasal_crest.23.31,normal,-3.22E+00,2.19E+00,-1.20E+01,-8.58E-02,-3.62E-01,9.28E-01
570,Nasal_crest.23.32,normal,-3.38E+00,2.17E+00,-1.21E+01,-2.45E-01,3.37E-01,9.09E-01
571,Nasal_crest.23.33,normal,-3.55E+00,2.17E+00,-1.21E+01,-3.74E-02,1.53E-01,9.88E-01
572,Nasal_crest.23.34,normal,-3.71E+00,2.18E+00,-1.21E+01,-1.88E-01,6.84E-01,7.05E-01
573,Nasal_crest.23.35,normal,-3.87E+00,2.17E+00,-1.21E+01,-1.11E-02,8.80E-01,4.75E-01
574,Nasal_crest.23.36,normal,-4.04E+00,2.18E+00,-1.22E+01,-4.37E-02,6.50E-01,7.59E-01
575,Nasal_crest.23.37,normal,-4.20E+00,2.19E+00,-1.22E+01,-1.30E-02,5.90E-01,8.07E-01
576,Nasal_crest.23.38,normal,-4.34E+00,2.18E+00,-1.22E+01,-1.36E-01,7.20E-01,6.81E-01
577,Nasal_crest.23.39,normal,-4.49E+00,2.18E+00,-1.22E+01,7.67E-02,4.20E-01,9.04E-01
578,Nasal_crest.23.40,normal,-4.63E+00,2.18E+00,-1.22E+01,-4.76E-01,1.43E-02,8.80E-01
579,Nasal_crest.23.41,normal,-4.80E+00,2.17E+00,-1.22E+01,1.67E-02,7.23E-01,6.90E-01
580,Nasal_crest.23.42,normal,-4.96E+00,2.16E+00,-1.22E+01,7.23E-02,6.73E-01,7.36E-01
581,Nasal_crest.23.43,normal,-5.13E+00,2.16E+00,-1.22E+01,-1.38E-01,7.61E-01,6.34E-01
582,Nasal_crest.23.44,normal,-5.31E+00,2.16E+00,-1.22E+01,8.56E-02,6.47E-01,7.58E-01
583,Nasal_crest.23.45,normal,-5.49E+00,2.15E+00,-1.22E+01,-2.01E-01,6.93E-01,6.92E-01
584,Nasal_crest.23.46,normal,-5.66E+00,2.14E+00,-1.22E+01,-2.82E-02,4.23E-01,9.06E-01
585,Nasal_crest.23.47,normal,-5.91E+00,2.12E+00,-1.22E+01,-2.11E-01,7.69E-01,6.04E-01
586,Nasal_crest.23.48,normal,-6.15E+00,2.09E+00,-1.23E+01,-1.65E-01,3.49E-02,9.86E-01
587,Nasal_crest.23.49,normal,-6.39E+00,2.09E+00,-1.23E+01,-2.92E-01,4.18E-01,8.60E-01
588,Nasal_crest.23.50,normal,-6.53E+00,2.13E+00,-1.24E+01,-1.73E-01,7.18E-01,6.74E-01
589,Nasal_crest.23.51,normal,-6.66E+00,2.19E+00,-1.25E+01,3.38E-01,3.75E-01,8.63E-01
590,Nasal_crest.23.52,normal,-6.81E+00,2.23E+00,-1.25E+01,1.11E-01,1.07E-01,9.88E-01
591,Nasal_crest.23.53,normal,-7.19E+00,2.15E+00,-1.24E+01,4.23E-02,5.68E-02,9.97E-01
592,Nasal_crest.23.54,normal,-7.57E+00,2.04E+00,-1.23E+01,5.89E-02,-6.10E-01,7.91E-01
593,Nasal_crest.23.55,normal,-7.95E+00,1.94E+00,-1.23E+01,1.29E-01,-5.66E-01,8.14E-01
594,Nasal_crest.23.56,normal,-8.17E+00,1.94E+00,-1.22E+01,-5.20E-02,-2.49E-01,9.67E-01
595,Nasal_crest.23.57,normal,-8.38E+00,1.97E+00,-1.23E+01,3.43E-02,4.76E-01,8.79E-01
596,Nasal_crest.23.58,normal,-8.59E+00,1.99E+00,-1.23E+01,-5.91E-02,3.09E-01,9.49E-01
597,Nasal_crest.23.59,normal,-8.79E+00,2.01E+00,-1.23E+01,2.40E-01,-5.91E-01,7.70E-01
598,Nasal_crest.23.60,normal,-8.99E+00,2.02E+00,-1.23E+01,1.60E-01,-9.67E-01,2.00E-01
599,Nasal_crest.23.61,normal,-9.20E+00,2.01E+00,-1.23E+01,4.44E-01,-6.27E-01,6.39E-01
600,Frontal_Orbit_LEFT.24.01,normal,-7.25E+00,2.73E+00,-1.24E+01,-2.30E-02,8.89E-01,4.57E-01
601,Frontal_Orbit_LEFT.24.02,normal,-7.44E+00,2.68E+00,-1.24E+01,6.62E-02,8.62E-01,5.02E-01
602,Frontal_Orbit_LEFT.24.03,normal,-7.61E+00,2.67E+00,-1.22E+01,2.22E-01,-8.09E-01,5.44E-01
603,Frontal_Orbit_LEFT.24.04,normal,-7.80E+00,2.64E+00,-1.21E+01,4.36E-01,-3.95E-01,8.09E-01
604,Frontal_Orbit_LEFT.24.05,normal,-7.90E+00,2.63E+00,-1.21E+01,3.69E-01,-2.14E-02,9.29E-01
605,Frontal_Orbit_LEFT.24.06,normal,-8.01E+00,2.63E+00,-1.21E+01,4.03E-01,-3.13E-02,9.15E-01
606,Frontal_Orbit_LEFT.24.07,normal,-8.12E+00,2.62E+00,-1.20E+01,3.13E-01,-2.13E-01,9.26E-01
607,Frontal_Orbit_LEFT.24.08,normal,-8.63E+00,2.61E+00,-1.20E+01,1.48E-01,-3.93E-01,9.08E-01
608,Frontal_Orbit_LEFT.24.09,normal,-9.15E+00,2.64E+00,-1.20E+01,-3.46E-01,-4.20E-01,8.39E-01
609,Frontal_Orbit_LEFT.24.10,normal,-9.52E+00,2.70E+00,-1.24E+01,5.31E-01,8.20E-02,8.43E-01
610,Frontal_Orbit_LEFT.24.11,normal,-9.49E+00,2.77E+00,-1.24E+01,8.65E-01,-3.95E-01,-3.08E-01
611,Frontal_Orbit_LEFT.24.12,normal,-9.44E+00,2.82E+00,-1.24E+01,8.35E-01,-5.49E-01,3.28E-02
612,Frontal_Orbit_LEFT.24.13,normal,-9.38E+00,2.86E+00,-1.25E+01,4.66E-01,-5.99E-02,8.83E-01
613,Frontal_Orbit_LEFT.24.14,normal,-9.26E+00,2.93E+00,-1.25E+01,6.90E-01,-3.83E-01,6.14E-01
614,Frontal_Orbit_LEFT.24.15,normal,-9.10E+00,2.91E+00,-1.24E+01,-9.05E-01,-1.04E-01,-4.13E-01
615,Frontal_Orbit_LEFT.24.16,normal,-9.05E+00,3.03E+00,-1.23E+01,7.82E-01,-1.64E-01,6.01E-01
616,Frontal_Orbit_LEFT.24.17,normal,-9.17E+00,3.12E+00,-1.22E+01,7.76E-01,1.32E-01,-6.17E-01
617,Frontal_Orbit_LEFT.24.18,normal,-9.19E+00,3.23E+00,-1.21E+01,9.76E-01,-2.16E-01,2.44E-02
618,Frontal_Orbit_LEFT.24.19,normal,-9.34E+00,3.28E+00,-1.21E+01,3.49E-01,6.25E-01,6.98E-01
619,Frontal_Orbit_LEFT.24.20,normal,-9.48E+00,3.35E+00,-1.21E+01,-4.14E-01,-4.90E-01,7.67E-01
620,Frontal_Orbit_LEFT.24.21,normal,-9.62E+00,3.45E+00,-1.21E+01,-7.76E-01,-1.43E-01,6.14E-01
621,Frontal_Orbit_LEFT.24.22,normal,-9.75E+00,3.52E+00,-1.20E+01,2.35E-01,-3.86E-01,8.92E-01
622,Frontal_Orbit_LEFT.24.23,normal,-9.81E+00,3.58E+00,-1.20E+01,5.19E-01,-2.32E-02,8.55E-01
623,Frontal_Orbit_LEFT.24.24,normal,-9.88E+00,3.66E+00,-1.20E+01,4.92E-01,3.07E-01,8.15E-01
624,Frontal_Orbit_LEFT.24.25,normal,-9.96E+00,3.71E+00,-1.20E+01,3.71E-01,6.53E-01,6.60E-01
625,Frontal_Orbit_LEFT.24.26,normal,-1.01E+01,3.79E+00,-1.19E+01,5.25E-01,7.24E-01,4.47E-01
626,Frontal_Orbit_LEFT.24.27,normal,-1.02E+01,3.85E+00,-1.20E+01,3.00E-01,4.75E-01,8.27E-01
627,Frontal_Orbit_LEFT.24.28,normal,-1.03E+01,3.94E+00,-1.19E+01,3.47E-01,-1.09E-01,9.31E-01
628,Frontal_Orbit_LEFT.24.29,normal,-1.03E+01,3.98E+00,-1.19E+01,-1.46E-01,1.84E-01,9.72E-01
629,Frontal_Orbit_LEFT.24.30,normal,-1.04E+01,4.03E+00,-1.19E+01,4.92E-01,5.90E-01,6.40E-01
630,Frontal_Orbit_LEFT.24.31,normal,-1.05E+01,4.08E+00,-1.19E+01,2.07E-01,4.79E-01,8.53E-01
631,Frontal_Orbit_LEFT.24.32,normal,-1.05E+01,4.16E+00,-1.19E+01,9.02E-01,1.69E-01,3.98E-01
632,Frontal_Orbit_LEFT.24.33,normal,-1.05E+01,4.23E+00,-1.19E+01,3.96E-01,1.49E-02,9.18E-01
633,Frontal_Orbit_LEFT.24.34,normal,-1.06E+01,4.30E+00,-1.19E+01,5.85E-01,1.39E-01,7.99E-01
634,Frontal_Orbit_LEFT.24.35,normal,-1.07E+01,4.39E+00,-1.19E+01,6.83E-01,5.33E-01,5.00E-01
635,Frontal_Orbit_LEFT.24.36,normal,-1.07E+01,4.48E+00,-1.19E+01,5.49E-01,-5.26E-01,6.50E-01
636,Frontal_Orbit_LEFT.24.37,normal,-1.08E+01,4.56E+00,-1.19E+01,-6.65E-02,5.00E-01,8.63E-01
637,Frontal_Orbit_RIGHT.25.01,normal,-7.22E+00,1.41E+00,-1.27E+01,1.65E-02,-9.87E-01,1.59E-01
638,Frontal_Orbit_RIGHT.25.02,normal,-7.42E+00,1.46E+00,-1.27E+01,1.36E-01,-8.73E-01,4.69E-01
639,Frontal_Orbit_RIGHT.25.03,normal,-7.58E+00,1.38E+00,-1.25E+01,4.25E-01,3.44E-01,8.37E-01
640,Frontal_Orbit_RIGHT.25.04,normal,-7.75E+00,1.33E+00,-1.24E+01,6.58E-01,-2.49E-01,7.10E-01
641,Frontal_Orbit_RIGHT.25.05,normal,-7.91E+00,1.31E+00,-1.23E+01,5.15E-01,-2.26E-01,8.27E-01
642,Frontal_Orbit_RIGHT.25.06,normal,-8.07E+00,1.30E+00,-1.23E+01,2.41E-01,-3.38E-01,9.10E-01
643,Frontal_Orbit_RIGHT.25.07,normal,-8.24E+00,1.29E+00,-1.22E+01,-2.77E-02,-3.33E-01,9.43E-01
644,Frontal_Orbit_RIGHT.25.08,normal,-8.34E+00,1.28E+00,-1.22E+01,-2.20E-02,2.38E-02,9.99E-01
645,Frontal_Orbit_RIGHT.25.09,normal,-8.45E+00,1.26E+00,-1.22E+01,6.47E-02,-4.09E-01,9.10E-01
646,Frontal_Orbit_RIGHT.25.10,normal,-8.55E+00,1.25E+00,-1.22E+01,3.22E-02,1.30E-01,9.91E-01
647,Frontal_Orbit_RIGHT.25.11,normal,-8.70E+00,1.26E+00,-1.22E+01,-9.92E-02,3.14E-01,9.44E-01
648,Frontal_Orbit_RIGHT.25.12,normal,-8.85E+00,1.26E+00,-1.22E+01,-1.84E-01,1.19E-01,9.76E-01
649,Frontal_Orbit_RIGHT.25.13,normal,-8.99E+00,1.27E+00,-1.23E+01,-1.33E-01,-1.91E-01,9.72E-01
650,Frontal_Orbit_RIGHT.25.14,normal,-9.14E+00,1.29E+00,-1.23E+01,-9.35E-02,2.26E-01,9.70E-01
651,Frontal_Orbit_RIGHT.25.15,normal,-9.29E+00,1.31E+00,-1.23E+01,6.72E-02,8.82E-02,9.94E-01
652,Frontal_Orbit_RIGHT.25.16,normal,-9.45E+00,1.31E+00,-1.23E+01,5.43E-02,1.14E-02,9.98E-01
653,Frontal_Orbit_RIGHT.25.17,normal,-9.52E+00,1.29E+00,-1.23E+01,8.88E-02,-3.39E-02,9.95E-01
654,Frontal_Orbit_RIGHT.25.18,normal,-9.59E+00,1.25E+00,-1.23E+01,9.44E-02,-4.02E-01,9.11E-01
655,Frontal_Orbit_RIGHT.25.19,normal,-9.65E+00,1.19E+00,-1.23E+01,1.46E-01,-1.93E-01,9.70E-01
656,Frontal_Orbit_RIGHT.25.20,normal,-9.71E+00,1.11E+00,-1.23E+01,1.35E-01,-1.73E-01,9.76E-01
657,Frontal_Orbit_RIGHT.25.21,normal,-9.77E+00,1.03E+00,-1.23E+01,-1.21E-01,-4.05E-01,9.06E-01
658,Frontal_Orbit_RIGHT.25.22,normal,-9.84E+00,9.70E-01,-1.23E+01,1.38E-01,-6.08E-01,7.82E-01
659,Frontal_Orbit_RIGHT.25.23,normal,-9.93E+00,9.44E-01,-1.24E+01,2.70E-01,-9.48E-01,1.70E-01
660,Frontal_Orbit_RIGHT.25.24,normal,-1.00E+01,9.25E-01,-1.24E+01,4.27E-01,-7.24E-01,-5.43E-01
661,Frontal_Orbit_RIGHT.25.25,normal,-1.01E+01,8.72E-01,-1.24E+01,5.70E-01,-8.22E-01,4.27E-03
662,Frontal_Orbit_RIGHT.25.26,normal,-1.02E+01,8.06E-01,-1.24E+01,5.29E-01,-8.28E-01,1.87E-01
663,Frontal_Orbit_RIGHT.25.27,normal,-1.03E+01,7.50E-01,-1.24E+01,5.74E-01,-8.07E-01,1.40E-01
664,Frontal_Orbit_RIGHT.25.28,normal,-1.04E+01,6.85E-01,-1.24E+01,4.60E-01,-7.66E-01,4.49E-01
665,Frontal_Orbit_RIGHT.25.29,normal,-1.05E+01,6.38E-01,-1.24E+01,4.98E-01,-6.38E-01,5.87E-01
666,Frontal_Orbit_RIGHT.25.30,normal,-1.05E+01,5.94E-01,-1.24E+01,4.79E-01,-4.83E-01,7.33E-01
667,Frontal_Orbit_RIGHT.25.31,normal,-1.06E+01,5.47E-01,-1.24E+01,3.81E-01,-4.90E-01,7.84E-01
668,Frontal_Orbit_RIGHT.25.32,normal,-1.07E+01,4.47E-01,-1.24E+01,3.97E-01,-5.72E-01,7.18E-01
669,Frontal_Orbit_RIGHT.25.33,normal,-1.08E+01,3.38E-01,-1.25E+01,5.04E-01,-6.67E-01,5.49E-01
670,Frontal_Orbit_RIGHT.25.34,normal,-1.09E+01,2.29E-01,-1.25E+01,6.05E-01,-5.12E-01,6.10E-01
671,Frontal_Orbit_RIGHT.25.35,normal,-1.10E+01,1.28E-01,-1.25E+01,5.63E-01,-4.95E-01,6.61E-01
672,Frontal_Orbit_RIGHT.25.36,normal,-1.11E+01,3.32E-02,-1.24E+01,5.89E-01,-4.95E-01,6.38E-01
673,Frontal_Orbit_RIGHT.25.37,normal,-1.12E+01,-5.94E-02,-1.24E+01,4.31E-01,-4.01E-01,8.09E-01
674,Post-Parietal_LEFT_1.26.01,normal,-1.44E+01,3.43E+00,-1.37E+01,4.75E-02,-8.90E-01,4.54E-01
675,Post-Parietal_LEFT_1.26.02,normal,-1.44E+01,3.50E+00,-1.37E+01,-2.65E-01,2.65E-01,9.27E-01
676,Post-Parietal_LEFT_1.26.03,normal,-1.44E+01,3.58E+00,-1.37E+01,-8.47E-01,1.92E-01,4.95E-01
677,Post-Parietal_LEFT_1.26.04,normal,-1.44E+01,3.65E+00,-1.38E+01,-9.62E-01,8.42E-02,-2.59E-01
678,Post-Parietal_LEFT_1.26.05,normal,-1.43E+01,3.70E+00,-1.39E+01,-6.80E-01,-1.21E-01,-7.24E-01
679,Post-Parietal_LEFT_1.26.06,normal,-1.43E+01,3.71E+00,-1.40E+01,-8.76E-01,-3.20E-01,-3.62E-01
680,Post-Parietal_LEFT_1.26.07,normal,-1.43E+01,3.71E+00,-1.41E+01,-5.68E-01,-8.06E-01,-1.66E-01
681,Post-Parietal_LEFT_1.26.08,normal,-1.42E+01,3.70E+00,-1.42E+01,-5.57E-01,-8.25E-01,-8.95E-02
682,Post-Parietal_LEFT_1.26.09,normal,-1.42E+01,3.69E+00,-1.43E+01,-5.89E-01,-8.08E-01,-3.29E-02
683,Post-Parietal_LEFT_1.26.10,normal,-1.42E+01,3.66E+00,-1.44E+01,-7.29E-01,-6.74E-01,1.17E-01
684,Post-Parietal_LEFT_1.26.11,normal,-1.42E+01,3.63E+00,-1.45E+01,-8.41E-01,-5.40E-01,-2.28E-02
685,Post-Parietal_LEFT_1.26.12,normal,-1.42E+01,3.58E+00,-1.46E+01,-8.22E-01,-2.96E-01,4.86E-01
686,Post-Parietal_LEFT_1.26.13,normal,-1.42E+01,3.52E+00,-1.47E+01,-3.01E-01,-6.45E-01,7.03E-01
687,Post-Parietal_LEFT_1.26.14,normal,-1.43E+01,3.48E+00,-1.48E+01,-5.63E-01,-3.75E-01,7.36E-01
688,Post-Parietal_LEFT_1.26.15,normal,-1.44E+01,3.43E+00,-1.48E+01,2.46E-01,-7.50E-01,6.14E-01
689,Post-Parietal_LEFT_1.26.16,normal,-1.45E+01,3.38E+00,-1.48E+01,-8.78E-01,-2.02E-02,4.79E-01
690,Post-Parietal_LEFT_1.26.17,normal,-1.45E+01,3.33E+00,-1.49E+01,-8.89E-01,-3.09E-01,3.38E-01
691,Post-Parietal_LEFT_1.26.18,normal,-1.45E+01,3.27E+00,-1.49E+01,-8.06E-01,-5.19E-01,2.83E-01
692,Post-Parietal_LEFT_1.26.19,normal,-1.45E+01,3.21E+00,-1.50E+01,-5.85E-01,-6.99E-01,4.11E-01
693,Post-Parietal_LEFT_1.26.20,normal,-1.45E+01,3.16E+00,-1.50E+01,-7.44E-01,-6.67E-01,-4.50E-02
