Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
49,Jugal_RIGHT.2.24,normal,-8.61E+00,4.42E-01,-1.45E+01,-2.91E-01,-7.92E-01,-5.37E-01
50,Jugal_RIGHT.2.25,normal,-8.68E+00,4.40E-01,-1.45E+01,-2.54E-01,-6.68E-01,-7.00E-01
51,Jugal_RIGHT.2.26,normal,-8.77E+00,4.32E-01,-1.45E+01,-1.95E-01,-8.48E-01,-4.93E-01
52,Jugal_RIGHT.2.27,normal,-8.85E+00,4.19E-01,-1.44E+01,-4.05E-01,-6.44E-01,-6.49E-01
53,Jugal_RIGHT.2.28,normal,-8.90E+00,4.37E-01,-1.43E+01,-7.39E-01,-6.64E-01,1.12E-01
54,Jugal_RIGHT.2.29,normal,-9.03E+00,3.89E-01,-1.42E+01,-4.94E-01,-6.04E-01,-6.26E-01
55,Jugal_RIGHT.2.30,normal,-9.15E+00,3.40E-01,-1.40E+01,1.44E-01,-9.85E-01,-9.65E-02
56,Jugal_RIGHT.2.31,normal,-9.27E+00,3.06E-01,-1.39E+01,4.35E-01,-8.96E-01,-9.11E-02
57,Jugal_RIGHT.2.32,normal,-9.30E+00,3.30E-01,-1.38E+01,8.43E-01,-2.26E-01,4.88E-01
58,Jugal_RIGHT.2.33,normal,-9.31E+00,3.52E-01,-1.37E+01,6.97E-01,-5.86E-01,-4.14E-01
59,Jugal_RIGHT.2.34,normal,-9.32E+00,3.60E-01,-1.37E+01,7.29E-01,-6.18E-01,2.94E-01
60,Jugal_RIGHT.2.35,normal,-9.43E+00,3.91E-01,-1.36E+01,2.43E-01,-9.50E-01,-1.96E-01
61,Jugal_RIGHT.2.36,normal,-9.54E+00,3.99E-01,-1.35E+01,4.04E-01,-5.39E-01,7.39E-01
62,Jugal_RIGHT.2.37,normal,-9.65E+00,4.09E-01,-1.35E+01,1.60E-01,-8.03E-01,5.74E-01
63,Jugal_RIGHT.2.38,normal,-9.89E+00,4.23E-01,-1.34E+01,-1.31E-01,-6.66E-01,7.35E-01
64,Jugal_RIGHT.2.39,normal,-1.01E+01,4.73E-01,-1.34E+01,-2.80E-01,-9.59E-01,5.02E-02
65,Jugal_RIGHT.2.40,normal,-1.04E+01,4.84E-01,-1.34E+01,5.36E-01,-5.61E-01,6.31E-01
66,Postorbital_LEFT_1.3.01,normal,-1.06E+01,5.41E+00,-1.33E+01,4.87E-01,-6.02E-02,8.71E-01
67,Postorbital_LEFT_1.3.02,normal,-1.07E+01,5.39E+00,-1.33E+01,3.30E-01,-3.43E-01,8.79E-01
68,Postorbital_LEFT_1.3.03,normal,-1.08E+01,5.36E+00,-1.33E+01,4.45E-01,-2.99E-01,8.44E-01
69,Postorbital_LEFT_1.3.04,normal,-1.09E+01,5.32E+00,-1.32E+01,5.00E-01,-2.07E-01,8.41E-01
